compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
hexanedioic acid,464.15,1,C(CCC(=O)O)CC(=O)O,pubchem,0,0,0,1
2-aminobenzoic acid,444.15,1,C1=CC=C(C(=C1)C(=O)O)N,pubchem,0,0,0,1
benzoic acid,394.15,1,C1=CC=C(C=C1)C(=O)O,pubchem,0,0,0,1
formic acid,342.15,1,C(=O)O,pubchem,0,0,0,1
2-chloroacetic acid,423.15,1,C(C(=O)O)Cl,pubchem,0,0,0,1
"2-hydroxypropane-1,2,3-tricarboxylic acid",373.15,1,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,pubchem,0,0,0,1
2-hydroxybenzoic acid,430.15,1,C1=CC=C(C(=C1)C(=O)O)O,pubchem,0,0,0,1
"2,3-dihydroxybutanedioic acid",483.15,1,C(C(C(=O)O)O)(C(=O)O)O,pubchem,0,0,0,1
pyridine-3-carboxylic acid,466.15,1,C1=CC(=CN=C1)C(=O)O,pubchem,0,0,0,1
2-phenylacetic acid,405.15,1,C1=CC=C(C=C1)CC(=O)O,pubchem,0,0,0,1
phthalic acid,441.15,1,C1=CC=C(C(=C1)C(=O)O)C(=O)O,pubchem,0,0,0,1
butanedioic acid,433.15,1,C(CC(=O)O)C(=O)O,pubchem,0,0,0,1
2-sulfanylacetic acid,386.15,1,C(C(=O)O)S,pubchem,0,0,0,1
2-acetyloxybenzoic acid,523.15,1,CC(=O)OC1=CC=CC=C1C(=O)O,pubchem,0,0,0,1
nonanedioic acid,483.15,1,C(CCCC(=O)O)CCCC(=O)O,pubchem,0,0,0,1
decanoic acid,386.15,1,CCCCCCCCCC(=O)O,pubchem,0,0,0,1
2-propylpentanoic acid,384.15,1,CCCC(CCC)C(=O)O,pubchem,0,0,0,1
dodecanoic acid,386.15,1,CCCCCCCCCCCC(=O)O,pubchem,0,0,0,1
2-methylprop-2-enoic acid,350.15,1,CC(=C)C(=O)O,pubchem,0,0,0,1
decanedioic acid,493.15,1,C(CCCCC(=O)O)CCCC(=O)O,pubchem,0,0,0,1
4-methylbenzenesulfonic acid,457.15,1,CC1=CC=C(C=C1)S(=O)(=O)O,pubchem,0,0,0,1
4-nitrobenzoic acid,475.15,1,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],pubchem,0,0,0,1
2-bromoacetic acid,386.15,1,C(C(=O)O)Br,pubchem,0,0,0,1
4-chlorobenzoic acid,511.15,1,C1=CC(=CC=C1C(=O)O)Cl,pubchem,0,0,0,1
benzenesulfonic acid,386.15,1,C1=CC=C(C=C1)S(=O)(=O)O,pubchem,0,0,0,1
terephthalic acid,533.15,1,C1=CC(=CC=C1C(=O)O)C(=O)O,pubchem,0,0,0,1
nonanoic acid,406.15,1,CCCCCCCCC(=O)O,pubchem,0,0,0,1
"2-(2,4-dichlorophenoxy)propanoic acid",477.15,1,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,pubchem,0,0,0,1
2-ethylhexanoic acid,400.15,1,CCCCC(CC)C(=O)O,pubchem,0,0,0,1
"1,3-dioxo-2-benzofuran-5-carboxylic acid",500.15,1,C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O,pubchem,0,0,0,1
2-hydroxy-4-methylsulfanylbutanoic acid,394.15,1,CSCCC(C(=O)O)O,pubchem,0,0,0,1
2-chloropropanoic acid,380.15,1,CC(C(=O)O)Cl,pubchem,0,0,0,1
2-ethylpropanedioic acid,358.15,1,CCC(C(=O)O)C(=O)O,pubchem,0,0,0,1
"2,2-dibromoacetic acid",386.15,1,C(C(=O)O)(Br)Br,pubchem,0,0,0,1
2-dodecylbenzenesulfonic acid,422.15,1,CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)O,pubchem,0,0,0,1
"2-methylpropanoic acid;2,2,4-trimethylpentane-1,3-diol",393.15,1,CC(C)C(C(C)(C)CO)O.CC(C)C(=O)O,pubchem,0,0,0,1
"7,7-dimethyloctanoic acid",367.15,1,CC(C)(C)CCCCCC(=O)O,pubchem,0,0,0,1
"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid",284.15,1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,pubchem,0,0,0,1
3-[bis(2-carboxyethyl)phosphanyl]propanoic acid,475.15,1,C(CP(CCC(=O)O)CCC(=O)O)C(=O)O,pubchem,0,0,0,1
(E)-but-2-enedioic acid,546.15,1,C(=CC(=O)O)C(=O)O,pubchem,0,0,0,1
(Z)-octadec-9-enoic acid,462.15,1,CCCCCCCCC=CCCCCCCCC(=O)O,pubchem,0,0,0,1
2-bromo-2-chloroacetic acid,383.15,1,C(C(=O)O)(Cl)Br,pubchem,0,0,0,1
3-[bis(2-carboxyethyl)phosphanyl]propanoic acid;hydrochloride,475.15,1,C(CP(CCC(=O)O)CCC(=O)O)C(=O)O.Cl,pubchem,0,0,0,1
aceticacid,313.0,1,C(C)(=O)O,carroll11,0,0,0,1
propionicacid,331.0,1,C(CC)(=O)O,carroll11,0,0,0,1
butanoicacid,342.0,1,C(CCC)(=O)O,carroll11,0,0,0,1
pentanoicacid,358.0,1,C(CCCC)(=O)O,carroll11,0,0,0,1
hexanoicacid,375.0,1,C(CCCCC)(=O)O,carroll11,0,0,0,1
heptanoicacid,382.0,1,C(CCCCCC)(=O)O,carroll11,0,0,0,1
2-methylpropanoicacid,332.0,1,CC(C(=O)O)C,carroll11,0,0,0,1
3-methylbutanoicacid,347.0,1,CC(CC(=O)O)C,carroll11,0,0,0,1
2-methylbutanoicacid,350.0,1,CC(C(=O)O)CC,carroll11,0,0,0,1
2-ethylbutanoicacid,360.0,1,C(C)C(C(=O)O)CC,carroll11,0,0,0,1
"3,3-dimethylbutanoicacid",361.0,1,CC(CC(=O)O)(C)C,carroll11,0,0,0,1
4-methylpentanoicacid,370.0,1,CC(CCC(=O)O)C,carroll11,0,0,0,1
2-methylpentanoicacid,364.0,1,CC(C(=O)O)CCC,carroll11,0,0,0,1
2-methylhexanoicacid,378.0,1,CC(C(=O)O)CCCC,carroll11,0,0,0,1
3-methylhexanoicacid,376.0,1,CC(CC(=O)O)CCC,carroll11,0,0,0,1
4-methylhexanoicacid,376.0,1,CC(CCC(=O)O)CC,carroll11,0,0,0,1
acrylicacid,327.0,1,C(C=C)(=O)O,carroll11,0,0,0,1
trans-2-pentenoicacid,375.0,1,C(\C=C\CC)(=O)O,carroll11,0,0,0,1
Adipic acid,464.15,1,O=C(O)CCCCC(=O)O,hazardous materials,0,0,0,1
Benzoic acid,394.15,1,O=C(O)c1ccccc1,hazardous materials,0,0,0,1
Hydrocyanic acid,255.15,1,C#N,hazardous materials,0,0,0,1
Oleic acid,462.15,1,CCCCCCCC/C=C\CCCCCCCC(=O)O,hazardous materials,0,0,0,1
Picric acid,423.15,1,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,hazardous materials,0,0,0,1
Salicylic acid,430.15,1,O=C(O)c1ccccc1O,hazardous materials,0,0,0,1
carbonic acid,442.95,1,O=C(O)O,le15,0,0,0,1
"Formic acid, ethenyl ester",289.15,1,C=COC=O,le15,0,0,0,1
"Thiocyanic acid, methyl ester",311.15,1,CSC#N,le15,0,0,0,1
"Acetic acid, 2-oxo-",377.05,1,O=CC(=O)O,le15,0,0,0,1
"Acetic acid, hydrazide",375.75,1,CC(=O)NN,le15,0,0,0,1
"Carbamic acid, methyl ester",378.35,1,COC(N)=O,le15,0,0,0,1
"Acetic acid, hydroxy-",401.85,1,O=C(O)CO,le15,0,0,0,1
ethanethioic S-acid,284.25,1,CC(=O)S,le15,0,0,0,1
methylphosphonous acid,343.35,1,CP(O)O,le15,0,0,0,1
"Isocyanic acid, allyl ester",316.15,1,C=CCN=C=O,le15,0,0,0,1
but-2-ynoic acid,364.05,1,CC#CC(=O)O,le15,0,0,0,1
"Acetic acid, cyano-",380.95,1,N#CCC(=O)O,le15,0,0,0,1
"2-Propenoic acid, 2-methyl-",347.32199999999995,1,C=C(C)C(=O)O,le15,0,0,0,1
(Z)-but-2-enoic acid,354.75,1,C/C=C\C(=O)O,le15,0,0,0,1
But-3-enoic acid,341.35,1,C=CCC(=O)O,le15,0,0,0,1
cyclopropanecarboxylic acid,344.85,1,O=C(O)C1CC1,le15,0,0,0,1
"Formic acid, allyl ester (8CI)",279.65,1,C=CCOC=O,le15,0,0,0,1
"2-Propenoic acid, methyl ester",279.817,1,C=CC(=O)OC,le15,0,0,0,1
"Isothiocyanic acid, ethyl ester",305.35,1,CCN=C=S,le15,0,0,0,1
Acetic acid ethyl ester,269.15,1,CCOC(C)=O,le15,0,0,0,1
"Propanoic acid, methyl ester",271.15,1,CCC(=O)OC,le15,0,0,0,1
"Carbamic acid, ethyl ester",370.35,1,CCOC(N)=O,le15,0,0,0,1
"Propanoic acid, 2-hydroxy-",383.086,1,CC(O)C(=O)O,le15,0,0,0,1
"Carbonic acid, dimethyl ester",291.15,1,COC(=O)OC,le15,0,0,0,1
"Acetic acid, 2-methoxy-",394.15,1,COCC(=O)O,le15,0,0,0,1
"Propanoic acid, 2-hydroxy-, (S)- (9CI)",383.05,1,C[C@H](O)C(=O)O,le15,0,0,0,1
"Carbazic acid, methyl ester (8CI)",359.25,1,COC(=O)NN,le15,0,0,0,1
"Acetic acid, fluoro-, methyl ester",290.75,1,COC(=O)CF,le15,0,0,0,1
"Acetic acid, mercapto-",372.95,1,O=C(O)CS,le15,0,0,0,1
dimethylphosphinic acid,410.85,1,CP(C)(=O)O,le15,0,0,0,1
"Acetic acid, chloro-",399.15,1,O=C(O)CCl,le15,0,0,0,1
"Carbonochloridic acid, methyl ester",280.95,1,COC(=O)Cl,le15,0,0,0,1
"Acetic acid, 2,2-difluoro-",351.15,1,O=C(O)C(F)F,le15,0,0,0,1
"Phosphonofluoridic acid, methyl-",318.75,1,CP(=O)(O)F,le15,0,0,0,1
"Acrylic acid, vinyl ester (6CI,7CI,8CI)",286.65,1,C=COC(=O)C=C,le15,0,0,0,1
"Ethanimidic acid, N-cyano-, methyl ester",292.05,1,COC(C)=NC#N,le15,0,0,0,1
"Isocyanic acid, butyl ester",290.95,1,CCCCN=C=O,le15,0,0,0,1
"Isothiocyanic acid, allyl ester",309.45,1,C=CCN=C=S,le15,0,0,0,1
