compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
chloro(trimethyl)silane,255.15,1,C[Si](C)(C)Cl,pubchem,1,1,0,0
dichloro(dimethyl)silane,264.15,1,C[Si](C)(Cl)Cl,pubchem,1,1,0,0
trichloro(ethenyl)silane,294.15,1,C=C[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
tetraethyl silicate,310.15,1,CCO[Si](OCC)(OCC)OCC,pubchem,1,1,0,0
dichloro(diphenyl)silane,415.15,1,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(Cl)Cl,pubchem,1,1,0,0
trichloro(phenyl)silane,364.15,1,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
trichloro(prop-2-enyl)silane,308.15,1,C=CC[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
trichloro(pentyl)silane,336.15,1,CCCCC[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
trichloro(octadecyl)silane,362.15,1,CCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
trichloro(ethyl)silane,295.15,1,CC[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
trichloro(propyl)silane,310.15,1,CCC[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
dichloro-methyl-phenylsilane,301.15,1,C[Si](C1=CC=CC=C1)(Cl)Cl,pubchem,1,1,0,0
3-triethoxysilylpropan-1-amine,371.15,1,CCO[Si](CCCN)(OCC)OCC,pubchem,1,1,0,0
[dimethyl-(trimethylsilylamino)silyl]methane,282.15,1,C[Si](C)(C)N[Si](C)(C)C,pubchem,1,1,0,0
trichloro(chloromethyl)silane,342.15,1,C([Si](Cl)(Cl)Cl)Cl,pubchem,1,1,0,0
dichloro(diethyl)silane,297.15,1,CC[Si](CC)(Cl)Cl,pubchem,1,1,0,0
3-trimethoxysilylpropyl 2-methylprop-2-enoate,365.15,1,CC(=C)C(=O)OCCC[Si](OC)(OC)OC,pubchem,1,1,0,0
trichloro(hexadecyl)silane,419.15,1,CCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
butyl(trichloro)silane,325.15,1,CCCC[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
dimethyl-bis(trimethylsilyloxy)silane,408.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,pubchem,1,1,0,0
trimethyl(trimethylsilyloxy)silane,243.15,1,C[Si](C)(C)O[Si](C)(C)C,pubchem,1,1,0,0
trimethyl-[methyl-bis(trimethylsilyloxy)silyl]oxysilane,359.15,1,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,pubchem,1,1,0,0
trichloro(cyclohexyl)silane,364.15,1,C1CCC(CC1)[Si](Cl)(Cl)Cl,pubchem,1,1,0,0
dimethyl-octadecyl-(3-trimethoxysilylpropyl)azanium;chloride,288.15,1,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[Si](OC)(OC)OC.[Cl-],pubchem,1,1,0,0
"trichloro-(3,4-dichlorophenyl)silane",414.15,1,C1=CC(=C(C=C1[Si](Cl)(Cl)Cl)Cl)Cl,pubchem,1,1,0,0
InChI=1S/C2H6ClSi/c1-4(2)3/h1-2H3,264.15,1,C[Si](C)Cl,pubchem,1,1,0,0
"InChI=1S/C2H5Cl2Si/c1-2-5(3)4/h2H2,1H3",272.15,1,CC[Si](Cl)Cl,pubchem,1,1,0,0
InChI=1S/CH3Cl2Si/c1-4(2)3/h1H3,247.15,1,C[Si](Cl)Cl,pubchem,1,1,0,0
"InChI=1S/C6H15O3Si/c1-4-7-10(8-5-2)9-6-3/h4-6H2,1-3H3",300.15,1,CCO[Si](OCC)OCC,pubchem,1,1,0,0
InChI=1S/CH3ClSi/c1-3-2/h1H3,264.15,1,C[Si]Cl,pubchem,1,1,0,0
ethoxy(trioxido)silane,310.15,1,CCO[Si]([O-])([O-])[O-],pubchem,1,1,0,0
