,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
0,0,Trichlorosilane,245.15,1,Cl[SiH](Cl)Cl,chen14
1,1,Methyltrichlorosilane,276.15,1,C[Si](Cl)(Cl)Cl,chen14
2,2,Vinyltrichlorosilane,294.15,1,C(=C)[Si](Cl)(Cl)Cl,chen14
3,3,Dichloromethylmethyldichlorosilane,301.15,1,ClC(Cl)[Si](Cl)(Cl)C,chen14
4,4,Ethyltrichlorosilane,263.15,1,C(C)[Si](Cl)(Cl)Cl,chen14
6,6,Ethylsilane,213.15,1,C(C)[SiH3],chen14
7,7,"Trichloro(3,3,3-trifluoropropyl)silane",288.15,1,Cl[Si](CCC(F)(F)F)(Cl)Cl,chen14
8,8,Allyltrichlorosilane,304.15,1,C(C=C)[Si](Cl)(Cl)Cl,chen14
9,9,3-Chloropropyltrichlorosilane,357.15,1,ClCCC[Si](Cl)(Cl)Cl,chen14
10,10,n-Propyltrichlorosilane,310.15,1,C(CC)[Si](Cl)(Cl)Cl,chen14
11,11,Chloromethyldimethylchlorosilane,295.15,1,ClC[Si](Cl)(C)C,chen14
12,12,Trimethyl bromosilane,270.15,1,C[Si](Br)(C)C,chen14
14,14,Trimethylfluorosilane,238.15,1,C[Si](F)(C)C,chen14
15,15,Trimethoxysilane,264.15,1,CO[SiH](OC)OC,chen14
16,16,2-Cyanoethylmethyldichlorosilane,333.15,1,C(#N)CC[Si](Cl)(Cl)C,chen14
17,17,Allylmethyldichlorosilane,300.15,1,C(C=C)C[SiH](Cl)Cl,chen14
18,18,t-Butyltrichlorosilane,294.15,1,C(C)(C)(C)[Si](Cl)(Cl)Cl,chen14
19,19,Isobutyltrichlorosilane,310.15,1,C(C(C)C)[Si](Cl)(Cl)Cl,chen14
20,20,n-Butyltrichlorosilane,327.15,1,C(CCC)[Si](Cl)(Cl)Cl,chen14
22,22,n-Propylmethyldichlorosilane,300.15,1,C(CC)[Si](Cl)(Cl)C,chen14
23,23,Bromomethyltrimethylsilane,289.15,1,BrC[Si](C)(C)C,chen14
24,24,ETHYLDIMETHYLCHLOROSILANE,269.15,1,C(C)[Si](Cl)(C)C,chen14
26,26,Dimethyldimethoxysilane,265.15,1,C[Si](OC)(OC)C,chen14
