,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
0,0,Propane,169.0,1,CCC,pan07
1,1,Butane,213.0,1,CCCC,pan07
4,4,Hexane,250.0,1,CCCCCC,pan07
5,5,"2,2-Dimethylbutane",225.0,1,CCC(C)(C)C,pan07
6,6,"2,3-Dimethylbutane",244.0,1,CC(C)C(C)C,pan07
8,8,"3,3-Dimethylpentane",254.0,1,CCC(C)(C)CC,pan07
9,9,"2,4-Dimethylpentane",261.0,1,CC(C)CC(C)C,pan07
11,11,"2,2-Dimethylpentane",250.0,1,CCCC(C)(C)C,pan07
12,12,"2,2,4-Trimethylpentane",261.0,1,CC(C)CC(C)(C)C,pan07
13,13,"2,2,3-Trimethylpentane",270.0,1,CCC(C)C(C)(C)C,pan07
14,14,3-Methyl-3-ethylpentane,276.0,1,CCC(C)(CC)CC,pan07
15,15,3-Ethylhexane,278.0,1,CCCC(CC)CC,pan07
16,16,3-Methylheptane,279.0,1,CCCCC(C)CC,pan07
17,17,"3,3-Dimethylhexane",272.0,1,CCCC(C)(C)CC,pan07
18,18,"2,3-Dimethylhexane",283.0,1,CCCC(C)C(C)C,pan07
19,19,"2,4-Dimethylhexane",283.0,1,CCC(C)CC(C)C,pan07
20,20,"2,5-Dimethylhexane",271.0,1,CC(C)CCC(C)C,pan07
21,21,Nonane,304.0,1,CCCCCCCCC,pan07
22,22,"3,4-Dimethylheptane",288.0,1,CCCC(C)C(C)CC,pan07
23,23,"2,3-Dimethylheptane",288.0,1,CCCCC(C)C(C)C,pan07
24,24,"2,6-Dimethylheptane",299.0,1,CC(C)CCCC(C)C,pan07
25,25,"2,3-Dimethyl-3-ethylpentane",288.0,1,CCC(C)(CC)C(C)C,pan07
26,26,"2,2,5-Trimethylhexane",286.0,1,CC(C)CCC(C)(C)C,pan07
27,27,3-Methyloctane,297.0,1,CCCCCC(C)CC,pan07
28,28,"2,2,3,4-Tetramethylpentane",284.0,1,CC(C)C(C)C(C)(C)C,pan07
29,29,"2,2,4,4-Tetramethylpentane",276.0,1,CC(C)(C)CC(C)(C)C,pan07
30,30,4-Ethylheptane,288.0,1,CCCC(CC)CCC,pan07
32,32,"2,4-Dimethylheptane",288.0,1,CCCC(C)CC(C)C,pan07
34,34,"3,3,4-Trimethylhexane",288.0,1,CCC(C)C(C)(C)CC,pan07
35,35,"2,3,5-Trimethylhexane",288.0,1,CC(C)CC(C)C(C)C,pan07
36,36,"2,2,3-Trimethylhexane",288.0,1,CCCC(C)C(C)(C)C,pan07
37,37,"3,5-Dimethylheptane",288.0,1,CCC(C)CC(C)CC,pan07
38,38,Tetraethylmethane,294.0,1,CCC(CC)(CC)CC,pan07
39,39,Decane,319.0,1,CCCCCCCCCC,pan07
40,40,4-Ethyloctane,314.0,1,CCCCC(CC)CCC,pan07
41,41,"2,4,5-Trimethylheptane",304.0,1,CCC(C)C(C)CC(C)C,pan07
43,43,"3,3-Dimethyloctane",314.0,1,CCCCCC(C)(C)CC,pan07
44,44,"3,5-Dimethyloctane",314.0,1,CCCC(C)CC(C)CC,pan07
46,46,"3-Ethyl-2,2-dimethylhexane",311.0,1,CCCC(CC)C(C)(C)C,pan07
47,47,"3,3,4,4-Tetramethylhexane",304.0,1,CCC(C)(C)C(C)(C)CC,pan07
49,49,"2,3,3,4-Tetramethylhexane",304.0,1,CCC(C)C(C)(C)C(C)C,pan07
50,50,"2,3,4,5-Tetramethylhexane",304.0,1,CC(C)C(C)C(C)C(C)C,pan07
51,51,"2,2,4,4-Tetramethylhexane",304.0,1,CCC(C)(C)CC(C)(C)C,pan07
52,52,"3,3,5-Trimethylheptane",304.0,1,CCC(C)CC(C)(C)CC,pan07
53,53,"2,3,5-Trimethylheptane",304.0,1,CCC(C)CC(C)C(C)C,pan07
55,55,4-Ethyl-3-methylheptane,314.0,1,CCCC(CC)C(C)CC,pan07
56,56,2-Methylnonane,314.0,1,CCCCCCCC(C)C,pan07
57,57,Undecane,333.0,1,CCCCCCCCCCC,pan07
58,58,Dodecane,344.0,1,CCCCCCCCCCCC,pan07
59,59,Tetradecane,372.0,1,CCCCCCCCCCCCCC,pan07
60,60,Hexadecane,408.0,1,CCCCCCCCCCCCCCCC,pan07
61,61,"2,2,4,4,6,8,8-Heptamethylnonane",368.0,1,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,pan07
62,62,2-Methylbutane,216.0,1,CCC(C)C,pan07
63,63,2-Methylpentane,250.0,1,CCCC(C)C,pan07
64,64,"2,3,3-Trimethylpentane",273.0,1,CCC(C)(C)C(C)C,pan07
65,65,2-Methylheptane,277.0,1,CCCCCC(C)C,pan07
66,66,"2,2-Dimethylhexane",269.0,1,CCCCC(C)(C)C,pan07
68,68,"2,4,4-Trimethylhexane",288.0,1,CCC(C)(C)CC(C)C,pan07
69,69,"4,4-Dimethylheptane",288.0,1,CCCC(C)(C)CCC,pan07
70,70,"2,3,3-Trimethylhexane",288.0,1,CCCC(C)(C)C(C)C,pan07
71,71,"2,4,6-Trimethylheptane",304.0,1,CC(C)CC(C)CC(C)C,pan07
72,72,"3-Ethyl-2,3,4-trimethylpentane",304.0,1,CCC(C)(C(C)C)C(C)C,pan07
73,73,"2,3,4,4-Tetramethylhexane",304.0,1,CCC(C)(C)C(C)C(C)C,pan07
75,75,3-Ethyl-5-methylheptane,304.0,1,CCC(C)CC(CC)CC,pan07
76,76,5-Methylnonane,312.0,1,CCCCC(C)CCCC,pan07
77,77,2-Methylpropane,186.0,1,CC(C)C,pan07
80,80,3-Methylhexane,258.0,1,CCCC(C)CC,pan07
83,83,"2,2,3,3-Tetramethylbutane",273.0,1,CC(C)(C)C(C)(C)C,pan07
86,86,3-Ethyl-4-methylhexane,288.0,1,CCC(C)C(CC)CC,pan07
87,87,"2,2,4-Trimethylhexane",288.0,1,CCC(C)CC(C)(C)C,pan07
88,88,"2,7-Dimethyloctane",314.0,1,CC(C)CCCCC(C)C,pan07
89,89,"2,2,3,4-Tetramethylhexane",304.0,1,CCC(C)C(C)C(C)(C)C,pan07
90,90,Tridecane,352.0,1,CCCCCCCCCCCCC,pan07
91,91,Pentadecane,388.0,1,CCCCCCCCCCCCCCC,pan07
