,Unnamed: 0,Unnamed: 0.1,compound,flashpoint,pure substance,smiles,source,residual
1341,5622,5622,"2-Tetrazene, 1,1,4,4-tetramethyl-",535.55,1.0,CN(C)N=NN(C)C,le15,202.308715009801
1701,5982,5982,Bis-(hydroxymethyl)-phosphinic acid,578.25,1.0,O=P(O)(CO)CO,le15,169.26545748920609
3058,7339,7339,"Purine-2,6-diyldiamine",720.9649999999997,1.0,Nc1nc(N)c2[nH]cnc2n1,le15,134.8194148386424
4159,8440,8440,"Acrylic acid, 2-butoxyethyl ester (8CI)",468.15,1.0,C=CC(=O)OCCOCCCC,le15,107.72089962441646
4217,8498,8498,"s-Triazine, 2-amino-4-chloro-6-(ethylamino)- (8CI)",284.15,1.0,CCNc1nc(N)nc(Cl)n1,le15,-189.14373246257964
4469,8750,8750,ethyl 3-methoxybenzoate,298.5499999999999,1.0,CCOC(=O)c1cccc(OC)c1,le15,-100.09175066154495
5113,9394,9394,"Hydrazinecarboxamide, 2-((5-nitro-2-furanyl)methylene)-",275.15,1.0,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,le15,-205.16929046344524
5813,10094,10094,"1,2,3-Propanetriol, trinitrate",285.15,1.0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],le15,-170.1945898555557
6127,10408,10408,"1,4,9,10-Tetrahydroxyanthracene",595.8499999999998,1.0,Oc1ccc(O)c2c(O)c3ccccc3c(O)c12,le15,118.5511181625397
7087,11368,11368,3-Chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl diethyl phosphate,620.15,1.0,CCOP(=O)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,le15,122.24319229624439
7224,11505,11505,1-Octacosanol,408.45,1.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,le15,-105.7043286719458
15,4296,4296,Formicacid,342.0,1.0,O=CO,le15,-102.81391026054536
441,4722,4722,(Z)-1-chlorobut-2-ene,378.55,1.0,C/C=C\CCl,le15,109.80483859692629
459,4740,4740,"2-chloro-1,1,1,3,3,3-hexadeuterio-2-(trideuteriomethyl)propane",291.45,1.0,[2H]C([2H])([2H])C(Cl)(C([2H])([2H])[2H])C([2H])([2H])[2H],le15,-249.72342005022966
1922,6203,6203,"2-Heptanone, oxime",613.8499999999998,1.0,CCCCCC(C)=NO,le15,254.91350530289287
2052,6333,6333,2-dimethylaminoethyl acetate,529.95,1.0,CC(=O)OCCN(C)C,le15,207.03264721946903
2106,6387,6387,"Urea, 1,1,3,3-tetramethyl-2-thio-",463.15,1.0,CN(C)C(=S)N(C)C,le15,140.77569441118493
2213,6494,6494,"2,4,6-trifluoro-1,3,5-triazine",418.15,1.0,Fc1nc(F)nc(F)n1,le15,106.39320314493915
2753,7034,7034,"4,6(1H,5H)-Pyrimidinedione, dihydro-2-thioxo-",507.15,1.0,O=C1CC(=O)NC(=S)N1,le15,141.35691071194634
3202,7483,7483,"7H-1,2,3-Triazolo(4,5-d)pyrimidin-7-one, 5-amino-1,4-dihydro- (9CI)",402.25,1.0,Nc1nc(=O)c2[nH]nnc2[nH]1,le15,-270.6069932060574
3277,7558,7558,[(E)-3-chloroprop-2-enyl]benzene,562.05,1.0,Cl/C=C/Cc1ccccc1,le15,211.19481624407865
4653,8934,8934,"1,3,5-Triazine, 2,4,6-trichloro-",487.55,1.0,Clc1nc(Cl)nc(Cl)n1,le15,103.59103556144697
4824,9105,9105,3-(Indol-3-yl)propionic acid,284.85,1.0,O=C(O)CCc1c[nH]c2ccccc12,le15,-206.34542632601324
5004,9285,9285,"7H-Dibenz(a,j)acrid-14-one",428.199,1.0,O=C1C=CC23C=CC=CC2Nc2ccc4ccccc4c2C3=C1,le15,-126.15135300595654
5011,9292,9292,N-(2-methylphenyl)-1-phenylmethanimine,613.3499999999998,1.0,Cc1ccccc1N=Cc1ccccc1,le15,187.4496897371974
5160,9441,9441,"1,1'-Biphenyl, 4-nitro-",316.15,1.0,O=[N+]([O-])c1ccc(-c2ccccc2)cc1,le15,-120.52997044237065
5973,10254,10254,"1,2,3,4-Butanetetracarboxylic acid",415.85,1.0,O=C(O)CC(C(=O)O)C(CC(=O)O)C(=O)O,le15,-171.00333868074563
6084,10365,10365,"Anthraquinone, 1,4-diamino-2,3-dihydro- (8CI)",453.85,1.0,NC1=C2C(=O)c3ccccc3C(=O)C2=C(N)CC1,le15,-107.13075977920141
6338,10619,10619,"9,10-Anthracenedione, 1,2,4-trihydroxy- (9CI)",386.15,1.0,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,le15,-167.9483750034525
6432,10713,10713,"Phosphorothioic acid, O,O-dimethyl O-(4-nitrophenyl) ester",319.25,1.0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,le15,-131.82702976347815
6584,10865,10865,"Acetophenone, 2-bromo-4'-phenyl- (8CI)",348.25,1.0,O=C(CBr)c1ccc(-c2ccccc2)cc1,le15,-108.02751136463638
7122,11403,11403,"1,4-Benzenediamine, N,N'-di-2-naphthalenyl-",672.15,1.0,c1ccc2cc(Nc3ccc(Nc4ccc5ccccc5c4)cc3)ccc2c1,le15,101.69098121319848
