,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
0,0,methanol,283.706,1,CO,patel10
1,1,ethanol,286.483,1,CCO,patel10
2,2,propan-1-ol,298.15,1,CCCO,patel10
3,3,butan-2-ol,295.372,1,CCC(C)O,patel10
4,4,2-methylpropan-1-ol,303.15,1,CC(C)CO,patel10
5,5,2-methylpropan-2-ol,284.261,1,CC(C)(C)O,patel10
6,6,pentan-2-ol,313.706,1,CCCC(C)O,patel10
7,7,2-methylbutan-2-ol,294.261,1,CCC(C)(C)O,patel10
8,8,hexan-1-ol,347.039,1,CCCCCCO,patel10
9,9,2-ethylbutan-1-ol,331.483,1,CCC(CC)CO,patel10
10,10,octan-2-ol,358.15,1,CCCCCCC(C)O,patel10
11,11,nonan-1-ol,353.15,1,CCCCCCCCCO,patel10
12,12,decan-1-ol,377.594,1,CCCCCCCCCCO,patel10
13,13,phenylmethanol,373.706,1,OCc1ccccc1,patel10
14,14,4-hydroxy-4-methylpentan-2-one,325.372,1,CC(=O)CC(C)(C)O,patel10
15,15,2-furylmethanol,356.483,1,OCc1ccco1,patel10
16,16,"2-methylpropanoic acid (3-hydroxy-2,2,4-trimethylpentyl) ester",393.15,1,CC(C)C(=O)OCC(C)(C)C(O)C(C)C,patel10
17,17,1-chloropropan-2-ol,324.15,1,CC(O)CCl,patel10
18,18,"1,4-dibromobutan-2-ol",386.15,1,OC(CBr)CCBr,patel10
19,19,heptan-2-ol,332.15,1,CCCCCC(C)O,patel10
20,20,heptan-1-ol,346.15,1,CCCCCCCO,patel10
21,21,hexan-2-ol,314.15,1,CCCCC(C)O,patel10
22,22,1-methoxypropan-2-ol,306.15,1,COCC(C)O,patel10
23,23,octan-1-ol,354.15,1,CCCCCCCCO,patel10
24,24,"(2r)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",386.15,1,CC(C)(CO)[C@@H](O)C(=O)NCCCO,patel10
25,25,pentan-3-ol,313.15,1,CCC(O)CC,patel10
